,default,data_uid,duration_in_month,credit_amount,Balance,Payment_Delay,installment_as_income_perc,age,States,Zipcode,Date,GDP,purpose_da,purpose_car,purpose_rep,purpose_bns,purpose_vac,purpose_edu,personal_status_sex_male,personal_status_sex_female,other_debtors_gnt,savings_.. >= 1000 DM ,savings_... < 100 DM,savings_100 <= ... < 500 DM,savings_500 <= ... < 1000 DM ,savings_unknown/ no savings account,present_emp_since_.. >= 7 years,present_emp_since_... < 1 year ,present_emp_since_1 <= ... < 4 years,present_emp_since_4 <= ... < 7 years,present_emp_since_unemployed,property_if not A121 : building society savings agreement/ life insurance,"property_if not A121/A122 : car or other, not in attribute 6",property_real estate,property_unknown / no property,other_installment_plans_bank,other_installment_plans_none,other_installment_plans_stores,housing_for free,housing_own,housing_rent,job_management/ self-employed/ highly qualified employee/ officer,job_skilled employee / official,job_unemployed/ unskilled - non-resident,job_unskilled - resident,foreign_worker_no,foreign_worker_yes
763,1,prj01-ds01-raw-0000764,21,12680,6974,4,4,30,Wisconsin,53001,7/5/2012,1.68,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
466,1,prj01-ds01-raw-0000467,24,1659,995,3,4,29,Delaware,19706,3/14/2013,0.38,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
887,1,prj01-ds01-raw-0000888,48,12672,5702,5,2,23,Maryland,20601,3/8/2011,2.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
346,0,prj01-ds01-raw-0000347,13,882,467,0,4,23,South Carolina,29401,9/9/2015,1.14,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
659,0,prj01-ds01-raw-0000660,18,6361,3371,1,2,41,Washington,98001,2/2/2016,2.55,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
872,0,prj01-ds01-raw-0000873,24,1382,732,1,4,26,Colorado,80019,12/3/2015,1.75,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
17,0,prj01-ds01-raw-0000018,30,8072,3632,0,2,25,Kentucky,40003,8/29/2016,1.07,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
837,0,prj01-ds01-raw-0000838,4,601,288,0,1,23,Massachusetts,1001,9/1/2011,2.75,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
580,1,prj01-ds01-raw-0000581,18,1056,581,3,3,30,Maine,3901,2/14/2011,0.32,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
865,0,prj01-ds01-raw-0000866,15,2221,1066,0,2,20,Wisconsin,53001,12/18/2016,1.68,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
